Comune,Latitudine,Longitudine,IdQ,Pericolosità
Agrigento,37.3122991,13.57465,32.70582654571532,8.020439566554517
Varese,45.817549,8.8263532,61.21637935478781,14.528506834413879
Venezia,45.4371908,12.3345898,60.84598657678551,27.568633280101608
Verbania,45.9344082,8.5580062,56.126538154578974,16.710729643667847
Vercelli,45.3251557,8.4227666,54.58606658572052,11.758912720637149
Verona,45.4384958,10.9924122,68.859231002828,30.346299420671386
Vibo Valentia,38.6748544,16.0985276,36.98559836236225,40.9673775650712
Vicenza,45.5488306,11.5478825,63.07476657582775,28.481813639757654
Viterbo,42.4168441,12.1051148,48.65055084518614,20.480054100441045
Belluno,46.1375185,12.2181711,60.69128909338338,31.439472789972687
Benevento,41.1295587,14.7824639,42.946016885755874,34.658273792023046
Bergamo,45.6944947,9.6698727,66.46404280304223,20.242155577060352
Biella,45.5664109,8.0542758,59.10313498007917,8.65732404033349
Bologna,44.4938203,11.3426327,69.37373329147425,48.509503258555654
Bolzano / Bozen,46.4984781,11.3547399,68.5158075617251,7.823137538993489
Brescia,45.5398022,10.2200214,64.38141100173823,31.253030787255614
Brindisi,40.6395295,17.945526,35.77604164260392,9.984544018815223
Cagliari,39.2171994,9.113311,64.80209921703417,25.157100723380527
Alessandria,44.9130438,8.6154872,51.00915634507991,13.931314543003204
Caltanissetta,37.4899412,14.0631618,29.66941478753617,19.492686347652885
Campobasso,41.5597935,14.6602725,48.2220892186673,29.973484906335642
Caserta,41.0820827,14.334708,30.260920047752208,23.010644205017794
Catania,37.5023612,15.0873718,35.364045714404725,37.416245009834796
Catanzaro,38.9076353,16.5960465,36.96651757117274,38.00169288480124
Chieti,42.3446529,14.1659738,53.58626583438366,24.459622365433123
Como,45.8115623,9.0830353,65.9783747366482,10.397866082761963
Cosenza,39.3099931,16.2501929,29.73192914726339,33.674638723252215
Cremona,45.1334796,10.0248716,62.87972875488212,22.192291406158063
Crotone,39.0806223,17.127196,28.68077181466691,28.650214749265462
Ancona,43.6170137,13.5170982,65.95321455120981,24.064589588680484
Cuneo,44.389633,7.5479007,58.83000077660779,16.013278691013483
Enna,37.5667573,14.2807473,36.56505314849921,14.793863354131519
Fermo,43.1604184,13.7161408,60.194172112271225,26.731549481586445
Ferrara,44.8372737,11.6186451,53.80494362553512,36.36080679853741
Firenze,43.7698712,11.2555757,71.09131250161795,35.99466353059784
Foggia,41.4620482,15.5432595,26.973094170403588,26.9838316482182
Forlì,44.2227278,12.041273,61.235,35.9852665265001
Frosinone,41.6419807,13.3469287,42.78351519082221,25.659279625466176
Genova,44.40726,8.9338624,61.04122606641853,19.621948268713837
Gorizia,45.9441278,13.6252288,63.94483202721691,27.84270670911777
Grosseto,42.7597261,11.1137389,48.84085348535192,22.36010975849161
Imperia,43.8862958,8.0267106,42.88243991538129,39.98249101085695
Isernia,41.600175,14.2383017,41.91672337223485,31.79279078250223
L'Aquila,42.3489203,13.3979672,58.30999036610348,29.407841683727774
La Spezia,44.1033871,9.8217022,57.095527597186525,23.004701576345788
Latina,41.4672811,12.903757,40.26424501440171,22.532194537700878
Lecce,40.3570373,18.1718482,46.55870608490164,10.457242533894943
Lecco,45.8553764,9.389605,60.80473029673092,12.063342108805458
Livorno,43.5507317,10.3091256,53.09503097887709,32.11925112145748
Lodi,45.3138827,9.5024315,55.98302778327172,13.201171193414291
Arezzo,43.4628957,11.8781675,59.68919225237304,26.69993443080437
Lucca,43.8428381,10.502876,54.16842320093382,24.91580471104959
Macerata,43.3007275,13.4535897,60.90285127990316,23.018806403150187
Mantova,45.1566683,10.7917191,59.13727565550207,24.633731797944016
Massa,44.0359323,10.1395519,50.83744462452847,22.900141074619704
Matera,40.667029,16.6063265,40.81487019833272,22.09953352822513
Messina,38.1937571,15.5542082,36.97016080767796,33.52911162986324
Milano,45.4641943,9.1896346,67.92584671698411,34.29281960751504
Modena,44.6458885,10.9255707,67.48676925076124,39.40968172218547
Monza,45.5834418,9.2735257,65.21902539463447,13.171042848978855
Napoli,40.8358846,14.2487679,29.62560354854756,40.03484318355416
Ascoli Piceno,42.8546185,13.5755038,63.365458421893386,26.256870090081886
Novara,45.4464036,8.619655,61.56864028444232,14.272525524448696
Nuoro,40.3210601,9.3297339,49.98307339706211,7.048172722764372
Oristano,39.9059497,8.5916112,47.45077395675505,4.552935642048283
Padova,45.4077172,11.8734455,66.09365295840264,24.125742559056903
Palermo,38.1112268,13.3524434,35.819764880710764,31.336348171383484
Parma,44.8013678,10.3280833,67.83366505999057,40.89603264176738
Pavia,45.1860043,9.1546375,57.61800496574309,17.975392794103794
Perugia,43.1119613,12.3890104,61.3826416207357,29.444604765775594
Pesaro,43.9098114,12.9131228,64.48834160651624,24.11607802891774
Pescara,42.469613,14.2059269,59.22842403547551,22.12664705538459
Asti,44.900542,8.2068876,55.33586049865553,11.397485520407205
Piacenza,45.0534751,9.6947461,60.32184012483807,28.78495165498763
Pisa,43.7159395,10.4018624,68.09535181542519,34.57440437255275
Pistoia,43.9336213,10.9174238,54.60141833954509,30.593573331147024
Pordenone,45.9562503,12.6597197,67.76627178470996,22.74136759576453
Potenza,40.6384046,15.8022077,40.71729408728675,18.149711516073825
Prato,43.880598,11.0969262,59.23163606766008,35.14760102050955
Ragusa,36.9219828,14.7213455,38.931835396990685,34.99509435135225
Ravenna,44.4161414,12.2017617,60.513781048086095,40.60856871317676
Reggio di Calabria,38.1035389,15.6397556,29.84189798248445,35.288053652358286
Reggio nell'Emilia,44.6978389,10.6304971,62.78875124328747,36.89307318919893
Avellino,40.9141958,14.7888764,43.08746070302291,29.107713327183774
Rieti,42.4026569,12.860813,46.12393259513794,30.328213716122846
Rimini,44.0593886,12.5684371,54.3164047503756,51.837353596062826
Roma,41.8933203,12.4829321,61.502422554274,35.70538901341174
Rovigo,45.0698166,11.78882,48.49969533361392,12.958471914777652
Salerno,40.6803601,14.7594542,35.081158079870626,23.58997117868908
Sassari,40.7232643,8.5610074,45.49779532124245,9.61394698087905
Savona,44.3080251,8.4810315,57.30364821588845,19.451730649602734
Siena,43.3185536,11.3316533,64.5047823712527,26.279414354711747
Siracusa,37.0646139,15.2907196,28.39676583559367,40.153243915196256
Sondrio,46.1713553,9.8734274,60.21247336231644,16.9635085289478
Bari,41.1257843,16.8620293,50.56984934322376,15.420459757089459
Taranto,40.4712427,17.2432278,32.35666544712111,18.495657185441715
Teramo,42.6612893,13.6983524,55.742891710441626,26.72791316696386
Terni,42.5641417,12.6405466,57.42836599889398,27.74883297916459
Torino,45.0677551,7.6824892,61.90715767638659,23.016833230917257
Trapani,38.0174321,12.515992,34.712001714257184,12.662200516124702
Trento,46.0664228,11.1257601,73.59523459091729,14.829333020288388
Treviso,45.6658505,12.2455414,63.36935906097779,13.200849637475564
Trieste,45.6496485,13.7772781,69.58788050389599,22.841245315263073
Udine,46.0634632,13.2358377,71.95067264573991,23.49093373164888
